OSEBuildingID,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,parking_area_prcnt,largest_property_GFA_prcnt,PropertyGFATotal_log,PropertyGFABuilding(s)_log,LargestPropertyUseTypeGFA_log,TotalGHGEmissions_log,SiteEnergyUse(kBtu)_log
9,Other,West Precinct,810 Virginia St,98101,0660000560,7,downtown,47.61623,-122.33657,1.0,2.0,97288,37198,60090,Other,88830.0,,,,,,62.36363636363637,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,7371434.0,4715182.0,False,,Compliant,,301.81,3.1,24,0.382349313378834,1.4782825761357963,11.485430930660835,11.003598717327973,11.394479709763747,5.709797680310989,16.307609282667034
11,Other,Paramount Theatre,911 Pine St,98101,0660000955,7,downtown,47.61327,-122.33136,1.0,8.0,102761,0,102761,Other,102761.0,,,,,,62.36363636363637,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,3636655.0,385189.0,False,,Compliant,,221.51,2.16,97,0.0,1.0,11.540161182589472,11.540161182589472,11.540161182589472,5.4004677351929695,15.655763560069461
21,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,98154,0942000275,7,downtown,47.60649,-122.33297,1.0,11.0,412000,57000,355000,Other,364913.0,Parking,49000.0,Data Center,1074.0,,62.36363636363637,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,17851297.0,0.0,False,,Compliant,,181.38,0.44,19,0.1383495145631068,1.0279239436619718,12.928778628331663,12.779873068457553,12.8074142479889,5.200594278019421,16.738073034525183
22,Other,Downtown Seattle YMCA,909 4th Avenue,98104,0942000350,7,downtown,47.60546,-122.33279,1.0,6.0,103911,0,103911,Other,90000.0,Office,40000.0,Swimming Pool,0.0,,62.36363636363637,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,10192124.0,4592347.5,4453868.0,910180.0,False,,Compliant,,433.86,4.18,93,0.0,0.8661258192106707,11.551290042513212,11.551290042513212,11.407564949312402,6.072721901414916,16.11372571668866
24,Mixed Use Property,The Rainier Club,820 4th Ave.,98104,0942000510,7,downtown,47.60515,-122.33159,1.0,5.0,57452,0,57452,Other,16442.0,Restaurant,15505.0,Office,9741.0,,58.82608695652174,132.3999939,137.1000061,280.7000122,285.0,7606084.5,7877219.0,1776201.875,3764791.0,2065091.0,False,,Compliant,,273.02,4.75,116,0.0,0.28618672979182624,10.958705095551714,10.958705095551714,9.707594315712079,5.609545052574831,15.844459077058906
26,Other,King County Courthouse,516 3RD AVE,98104,0942000860,7,downtown,47.60265,-122.33051,1.0,10.0,540360,0,540360,Other,537150.0,,,,,,76.0,83.69999695,87.5,182.6999969,186.6999969,44984468.0,47023088.0,0.0,24357833.0,20626631.0,False,,Compliant,,1265.29,2.34,107,0.0,0.9940595158783033,13.199990863083618,13.199990863083618,13.194032664094689,7.143056623899939,17.62182783259915
27,Other,King County Correctional Facility,500 5TH AVE,98104,0942001010,3,downtown,47.60378,-122.32842,1.0,19.0,385274,0,385274,Other,385274.0,,,,,,62.36363636363637,124.1999969,128.6000061,229.5,232.8999939,47859812.0,49539212.0,0.0,18257661.0,29602150.0,False,,Compliant,,1699.45,4.41,38,0.0,1.0,12.861710048451576,12.861710048451576,12.861710048451576,7.438059948285612,17.683786712313093
28,K-12 School,Graham Hill Elementary,5149 S. Graham St.,98118,1102000138,2,southeast,47.54576,-122.26853,1.0,2.0,56228,0,56228,K-12 School,58916.0,,,,,,95.0,26.10000038,29.10000038,60.70000076,64.59999847,1539478.5,1713623.5,0.0,936955.0,602523.0,True,,Error - Correct Default Data,,38.53,0.69,62,0.0,1.047805363875649,10.937170132451657,10.937170132451657,10.983867979609434,3.6514371586380663,14.246954280675935
30,K-12 School,Main Campus Center,1000 Lenora St.,98121,0660001420,7,downtown,47.61816,-122.33629,1.0,7.0,126593,0,126593,Other,125000.0,,,,,,79.54471544715447,90.69999695,97.5,173.0,180.0,11343686.0,12183313.0,0.0,4647474.0,6696211.0,False,,Compliant,,388.04,3.07,95,0.0,0.9874163658338139,11.748732494904456,11.748732494904456,11.736069016284437,5.961108427093083,16.244171847540205
31,Other,Seattle Honda,1015 & 1017 Olive Way,98101,0660001725,7,downtown,47.615,-122.33081,1.0,2.0,67224,0,67224,Other,67224.0,,,,,,62.36363636363637,19.5,19.5,61.20000076,61.20000076,1310236.625,1310236.625,0.0,1310236.0,0.0,False,,Compliant,,9.13,0.14,93,0.0,1.0,11.115785605608053,11.115785605608053,11.115785605608053,2.211565694606877,14.085718308636734
